ID;code;root
1;:ROOT1:;OneDrive - NHL Stenden
2;:ROOT2:;NHL Stenden
3;:ROOT3:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Periode 1
4;:ROOT4:;C:\repos\aapa\DEMO\FORMS
5;:ROOT5:;C:\repos\aapa\DEMO\MAIL
6;:ROOT6:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Periode 2
7;:ROOT7:;C:\repos\aapa\periode2
8;:ROOT8:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Periode 3
9;:ROOT9:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 1
10;:ROOT10:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 2
11;:ROOT11:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\aapa\mail_temp
12;:ROOT12:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 4
14;:ROOT14:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 5
15;:ROOT13:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Periode 4
16;:ROOT15:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 6
17;:ROOT16:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 7
18;:ROOT17:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 8
19;:ROOT18:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2022-2023\Beoordeling aanvragen 2023\Week 10
20;:ROOT19:;:ROOT9:1
21;:ROOT20:;:ROOT9:2
22;:ROOT21:;:ROOT9:3
23;:ROOT22:;:ROOT9:4
24;:ROOT23:;:ROOT2:\HBO-ICT Afstuderen - Software Engineering\2023-2024
25;:ROOT24:;:ROOT23:\Beoordeling aanvragen 2023\week 20
26;:ROOT25:;:ROOT23:\Beoordeling aanvragen 2023\week 21
27;:ROOT26:;:ROOT23:\Beoordeling aanvragen 2023\week 22
28;:ROOT27:;:ROOT23:\Beoordeling aanvragen 2023\week 23
29;:ROOT28:;:ROOT23:\Beoordeling aanvragen 2023\week 24
30;:ROOT29:;:ROOT23:\Beoordeling aanvragen 2023\week 25
31;:ROOT30:;:ROOT23:\Beoordeling aanvragen 2023\week 26
32;:ROOT31:;:ROOT23:\Beoordeling aanvragen 2023\week 27
33;:ROOT32:;:ROOT23:\Beoordeling aanvragen 2023\week 28
34;:ROOT33:;:ROOT23:\Beoordeling aanvragen 2023\week 35
35;:ROOT34:;:ROOT23:\Beoordeling aanvragen 2023\week 36
36;:ROOT35:;C:\aapaDEMO\FORMS
37;:ROOT36:;:ROOT23:\Beoordeling aanvragen 2023\week 37
38;:ROOT37:;:ROOT23:\Beoordeling aanvragen 2023\week 38
39;:ROOT38:;:ROOT23:\Beoordeling aanvragen 2023\week 39
40;:ROOT39:;:ROOT23:\Beoordeling aanvragen 2023\week 40
41;:ROOT40:;:ROOT23:\Beoordeling aanvragen 2023\week 41
42;:ROOT41:;:ROOT23:\Beoordeling aanvragen 2023\week 42
43;:ROOT42:;:ROOT23:\Beoordeling aanvragen 2023\week 44
44;:ROOT43:;:ROOT23:\Beoordeling aanvragen 2023\week 45
45;:ROOT44:;:ROOT23:\Beoordeling aanvragen 2023\week 46
46;:ROOT45:;:ROOT23:\Beoordeling aanvragen 2023\week 47
47;:ROOT46:;:ROOT23:\Beoordeling aanvragen 2023\week 48
48;:ROOT47:;:ROOT23:\Beoordeling aanvragen 2023\week 49
